id,coaster_name,Location,Continent,Country
58TP55,Gotham City Gauntlet: Escape from Arkham Asylum,Six Flags Magic Mountain,North America,United States
72YB13,Gotham City Gauntlet: Escape from Arkham Asylum,Six Flags New England,North America,United States
73NM90,Goudurix,Parc Astérix,Europe,France
21TD35,Grand Exposition Coaster,Silver Dollar City,North America,United States
27YY34,Grand National ,Blackpool Pleasure Beach,Europe,United Kingdom
49RT45,Greased Lightnin' ,Six Flags Discovery Kingdom,North America,United States
60WN90,Great American Scream Machine ,Six Flags Great Adventure,North America,United States
95UU26,Great American Scream Machine ,Six Flags Over Georgia,North America,United States
97EE74,Great Bear ,Hersheypark,North America,United States
93XB53,Great Chase ,Six Flags America,North America,United States
94HV19,Green Dragon ,Lake Compounce,North America,United States
24GU54,Green Lantern ,Six Flags Great Adventure,North America,United States
49HU59,Green Lantern Coaster,Warner Bros. Movie World,Oceania,Australia
83WK44,Green Lantern: First Flight,Warner Bros. Movie World,Europe,Germany
47UM69,Greezed Lightnin' ,Six Flags AstroWorld,North America,United States
43GZ87,Greezed Lightnin' ,Six Flags Kentucky Kingdom,North America,United States
31FO76,Griffon ,Busch Gardens Williamsburg,North America,United States
71SR35,Grizzly ,Kings Dominion,North America,United States
83QY14,Grover's Alpine Express,Busch Gardens Williamsburg,North America,United States
17VQ57,Guardians of the Galaxy: Cosmic Rewind,Epcot,North America,United States
50DI74,Gulf Coaster,Palace Playland,North America,United States
94ER94,Hades 360,Mt. Olympus Water & Theme Park,North America,United States
65TS57,Hades 360,Terra Mítica,Europe,Spain
71HP25,Hagrid's Magical Creatures Motorbike Adventure,Universal's Islands of Adventure,North America,United States
39NY36,Hair Raiser,Ocean Park Hong Kong,Asia,Hong Kong
66DL95,Hakugei ,Nagashima Spa Land,Asia,Japan
47YX18,Half Pipe ,Elitch Gardens,North America,United States
70CX43,Half Pipe ,Hopi Hari,South America,Brazil
41FF25,Half Pipe ,Lagoon Amusement Park,North America,United States
42RM68,HangTime ,Knott's Berry Farm,North America,United States
63LT44,Harley Quinn Crazy Train,Six Flags Great Adventure,North America,United States
99OI21,Harpy ,Xishuangbanna Theme Park,Asia,China
30BZ72,Harry Potter and the Escape from Gringotts,Universal Studios Florida,North America,United States
50FE67,Helix ,Liseberg,Europe,Sweden
38XO37,Hell Cat,Clementon Amusement Park,North America,United States
20IR14,Hercules ,Dorney Park & Wildwater Kingdom,North America,United States
95LQ72,High Roller ,Stratosphere Tower,North America,United States
24EJ57,High Roller ,Valleyfair,North America,United States
85LP85,High Speed Thrill Coaster,Knoebels Amusement Resort,North America,United States
81AU82,Hollywood Dream - The Ride,Universal Studios Japan,Asia,Japan
98CS95,Hollywood Rip Ride Rockit,Universal Studios Florida,North America,United States
39PO97,Hoosier Hurricane,Indiana Beach,North America,United States
57HT82,Hoot N Holler,Six Flags Darien Lake,North America,United States
88QC32,Hornet ,Wonderland Amusement Park,North America,United States
42EI51,Hundeprutterutchebane,BonBon-Land,Europe,Denmark
85OK77,Huracan ,Belantis,Europe,Germany
31EQ56,Hurler ,Carowinds,North America,United States
50YT37,Hurricane ,Fun Spot America,North America,United States
26OP48,Hurricane: Category 5,Myrtle Beach Pavilion,North America,United States
79WN66,Hydra the Revenge,Dorney Park & Wildwater Kingdom,North America,United States
65UB70,Hydrus ,Casino Pier,North America,United States
24TR70,Hyperion ,Energylandia,Europe,Poland
48CJ63,Hypersonic XLC,Kings Dominion,North America,United States
91LD88,Ice Breaker ,SeaWorld Orlando,North America,United States
47US37,Icon ,Blackpool Pleasure Beach,Europe,United Kingdom
23CI50,Impulse ,Knoebels Amusement Resort,North America,United States
69RF82,Incredicoaster,Disney California Adventure,North America,United States
20LM60,Indiana Jones et le Temple du Peril,Disneyland Park (Paris),Europe,France
18RQ26,Infusion ,Blackpool Pleasure Beach,Europe,United Kingdom
41ZJ32,Insane ,Gröna Lund,Europe,Sweden
53GN60,Insane Speed,Janfusun Fancyworld,Asia,Taiwan
95XA81,Intimidator ,Carowinds,North America,United States
